Volume Fraction,Max Stress at 1 mm (Holes),Max Stress at 1 mm (Mat A),Max Stress at 1 mm (Mat B),Max Stress at 5 mm (Holes),Max Stress at 5 mm (Mat A),Max Stress at 5 mm (Mat B),Displacement at 100 N (Holes),Displacement at 100 N (Mat A),Displacement at 100 N (Mat B),Displacement at 500 N (Holes),Displacement at 500 N (Mat A),Displacement at 500 N (Mat B)
0.1,518.8,370.2,221.5,2594,1851,1107,0.8488,0.7683,0.6452,4.4244,3.841,3.226
0.15,327.4,273.3,220.8,1637,1367,1104,0.8036,0.7419,0.6442,4.018,3.709,3.221
0.2,307.6,302.2,223.5,1853,1511,1118,0.8662,0.7842,0.6335,4.331,3.921,3.167
0.25,443.5,353.1,226.8,2218,1765,1134,0.9609,0.8355,0.618,4.805,4.177,3.09
0.3,400.7,304.7,226.3,2004,1532,1131,1.007,0.8262,0.6235,5.033,4.131,3.118
0.35,401.6,331,228.7,2008,1655,1143,1.198,0.9524,0.5897,5.992,4.762,2.94
0.4,396.485,332.94,236.355,1982.42,1661.47,1181.77,1.39049,0.977582,0.592969,6.95245,4.88791,2.96484
0.45,355.64,326.645,244.781,1778.2,1633.27,1223.91,1.57603,1.02662,0.578654,7.88013,5.13308,2.89327
0.5,581.604,415.632,247.792,2908.02,2078.16,1238.96,1.69963,1.10977,0.562288,8.49816,5.54886,2.81144
0.55,539.693,446.373,268.237,2698.46,2231.87,1341.19,2.11675,1.29222,0.530765,10.5837,6.4611,2.65382
0.6,456.363,330.688,296.943,2281.81,1653.44,1484.71,2.87142,1.32799,0.513602,14.357,6.63997,2.56801
0.65,292.158,416.21,292.52,1460.79,2081.05,1462.6,3.45355,1.411242,0.502413,17.2678,7.06209,2.51206
0.7,474.958,330.194,302.874,2374.79,1650.97,1514.37,6.85581,1.72964,0.474874,34.2791,8.64819,2.37437
